access_group,model,font,rows,empty_predictions,exact_match_rate,hallucination_rate,cer,wer,micro_cer,micro_wer,char_fscore,total_cost_usd,avg_latency_sec
open/general,Qwen 8B,Traditional Arabic,1424,0,0.3799157303370786,0.0,0.0317407739448604,0.1242560432144179,0.0279005807412121,0.1158129175946547,0.979948253557568,0.4841960000000007,0.8028105992844089
open/general,Qwen 8B,SimplifiedArabic,1424,0,0.4424157303370786,0.0,0.0263101255761524,0.1078967970410494,0.0223659237876601,0.098250079541839,0.9834858429821924,0.4890189999999991,1.156974594244384
open/general,Qwen 8B,Tahoma,1424,0,0.4662921348314606,0.0,0.0274640637469798,0.1066381484873298,0.0232751076814674,0.0965319758192809,0.9830012089290476,0.5167759999999995,1.2620495367043518
open/general,Qwen 8B,TimesNewRoman,1424,0,0.4073033707865168,0.0,0.0272123763695348,0.1209625571130082,0.0229341637212896,0.1093223035316576,0.9834160073555286,0.4875114999999985,1.0071622682254195
open/general,Qwen 32B,Akbaar,1424,0,0.4122191011235955,0.0,0.02419733260903,0.1206299484170433,0.0230591765066881,0.114412981228126,0.9838020809668772,0.4844895000000003,1.167476943369662
open/general,Qwen 32B,Naksh,1424,0,0.3321629213483146,0.0,0.0290330373553645,0.1530307905756806,0.0282187951040447,0.1501749920458161,0.9803609130382824,0.4902545000000005,1.2332162756598395
open/general,Qwen 32B,Andalus,1424,0,0.1116573033707865,0.0,0.0946599734464136,0.2823861087002711,0.0875203145776272,0.2733057588291441,0.9364204625087597,0.4924985000000006,1.192061820057001
open/general,Qwen 32B,Thuluth,1424,0,0.0646067415730337,0.0,0.1281020180114112,0.3729655774004021,0.1246604766396563,0.3657015590200445,0.9126445682732612,0.5050965000000001,1.3358788131997827
open/general,Qwen 32B,Traditional Arabic,1424,0,0.3728932584269663,0.0,0.0314320442903902,0.1340340262951693,0.0300826220863497,0.128794145720649,0.9785292630406746,0.4840000000000003,1.324844784281227
open/general,Qwen 32B,SimplifiedArabic,1424,0,0.4311797752808989,0.0,0.0230393143824735,0.1115186641068902,0.0220477094248275,0.1045497931912185,0.9843398669059028,0.488912999999999,1.3457766299167375
open/general,Qwen 32B,Tahoma,1424,0,0.4641853932584269,0.0,0.0211565158930084,0.1063207453919738,0.0185587162323419,0.0971046770601336,0.9863859345956424,0.5162799999999997,1.209947790992394
open/general,Qwen 32B,TimesNewRoman,1424,0,0.4185393258426966,0.0,0.0237156685878309,0.1220504640278924,0.0217863190553579,0.1157492841234489,0.984021130960834,0.487243499999999,1.599472916695509
open/general,EasyOCR,Akbaar,1424,2,0.0625,0.0014044943820224,0.0809568799645902,0.2957753554533478,0.0752917912059187,0.2801145402481705,0.953495252072324,0.0,0.0481947067748294
open/general,EasyOCR,Naksh,1424,1,0.0941011235955056,0.0007022471910112,0.0579719216978178,0.2797456624634656,0.0533009057744542,0.2720967228762329,0.9667277483894018,0.0,0.0444850869727938
open/general,EasyOCR,Andalus,1424,4,0.0070224719101123,0.0028089887640449,0.1480008551803547,0.5847089693058273,0.1402302508211067,0.5648106904231626,0.8893405083581406,0.0,0.0490863274657324
open/general,EasyOCR,Thuluth,1424,4,0.0028089887640449,0.0028089887640449,0.1952067784098235,0.7520411528703651,0.1872009637349274,0.7294304804327076,0.8498363386113649,0.0,0.039908929989579
open/general,EasyOCR,Traditional Arabic,1424,5,0.0765449438202247,0.0035112359550561,0.0744894639159586,0.273183611025901,0.0660181154890841,0.2517340120903595,0.9570073359809924,0.0,0.0443682494793045
open/general,EasyOCR,SimplifiedArabic,1424,3,0.0842696629213483,0.0021067415730337,0.0611278360292142,0.2578572165028835,0.056198929435965,0.2398981864460706,0.96158377151395,0.0,0.0480800363120068
open/general,EasyOCR,Tahoma,1424,0,0.0933988764044943,0.0,0.062599919404572,0.2929406993093683,0.0589719403120773,0.2755965637925548,0.959434832756632,0.0,0.0539608301406496
open/general,EasyOCR,TimesNewRoman,1424,1,0.0821629213483146,0.0007022471910112,0.0590495293221017,0.2875414138998472,0.0548465183939266,0.2730512249443207,0.964846688834904,0.0,0.0489042197050673
open/general,Gemma-3-27B,Akbaar,1424,14,0.0344101123595505,0.0196629213483146,0.546161158476602,0.8271316434469765,0.6171767567137548,0.8857779191854915,0.5498222650052972,0.04950992,1.2943105541923072
open/general,Gemma-3-27B,Naksh,1424,5,0.0351123595505618,0.0112359550561797,0.477681392197459,0.7892687032829645,0.5477946608175837,0.8454979319121858,0.5993749598647172,0.0491592799999999,1.361284709043717
open/general,Gemma-3-27B,Andalus,1424,108,0.0077247191011235,0.1074438202247191,0.8821965105682861,1.104971004881974,0.9309133888693162,1.131784918867324,0.3592273922621873,0.04920896,1.2795461972108049
open/general,Gemma-3-27B,Thuluth,1424,10,0.0098314606741573,0.0161516853932584,0.6530283320570899,0.9884741514333296,0.7042311145458058,1.0143175310213173,0.4920124780454557,0.0496288,1.2003995489873245
open/general,Gemma-3-27B,Traditional Arabic,1424,16,0.0273876404494382,0.0175561797752809,0.4975304855028603,0.8029626791492975,0.560193656169381,0.8538339166401527,0.5764338353968452,0.0490032,1.534237298737751
open/general,Gemma-3-27B,SimplifiedArabic,1424,12,0.0414325842696629,0.0175561797752809,0.5909759601655652,0.8505979294129364,0.6620904410678364,0.9070951320394528,0.5193054506378405,0.04924928,1.9201665493879423
open/general,Gemma-3-27B,Tahoma,1424,58,0.0610955056179775,0.0456460674157303,0.6049772303441215,0.8374772249583371,0.667363707651919,0.8894686605154312,0.503432744446388,0.0480347199999999,4.441820158047623
open/general,Gemma-3-27B,TimesNewRoman,1424,19,0.0512640449438202,0.0224719101123595,0.6510398355931171,0.9001135046283507,0.7143685149617575,0.9445116131084952,0.4932791073570051,0.04932376,3.832913036426801
arabic-specialized,Qari-OCR v0.3,Akbaar,1424,3,0.4318820224719101,0.0217696629213483,0.0965492463835526,0.1753468529148359,0.0846563853121342,0.1460388164174355,0.9543088873910208,0.0,0.7222360501463494
