access_group,model,mean,std
arabic-specialized,AIN 7B,0.007256423952449625,0.0064391417411211824
open/general,Qwen 8B,0.040533975065631674,0.0337093749464283
open/general,Qwen 32B,0.04449176620336166,0.039464383811904584
open/general,EasyOCR,0.0865074268959325,0.04978930859037527
arabic-specialized,Qari-OCR v0.3,0.08894091441170117,0.056853217084609727
closed,GPT-5.4 mini,0.09772448318578032,0.07455156746103975
open/general,Gemma-3-27B,0.6755165300996693,0.12001431952703909
closed,Gemini Pro,0.7027242405991113,0.1388166465924008
